Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.908333,0.950000,0.908333,0.908333,0.356052,63700
1980-03-18,0.908333,0.908333,0.908333,0.908333,0.356052,0
1980-03-19,0.908333,0.950000,0.908333,0.908333,0.356052,21000
1980-03-20,0.908333,0.950000,0.908333,0.908333,0.356052,6000
1980-03-21,0.908333,0.950000,0.908333,0.908333,0.356052,6000
1980-03-24,0.933333,0.966667,0.933333,0.933333,0.365852,41200
1980-03-25,0.933333,0.958333,0.916667,0.916667,0.359319,9700
1980-03-26,0.916667,0.958333,0.916667,0.916667,0.359319,700
1980-03-27,0.916667,0.950000,0.908333,0.908333,0.356052,12000
1980-03-28,0.933333,0.966667,0.933333,0.933333,0.365852,6000
1980-03-31,0.941667,0.983333,0.941667,0.941667,0.369118,8200
1980-04-01,0.941667,0.941667,0.941667,0.941667,0.369118,0
1980-04-02,0.941667,0.941667,0.900000,0.900000,0.352786,8200
1980-04-03,0.900000,0.933333,0.891667,0.891667,0.349519,700
1980-04-07,0.900000,0.941667,0.900000,0.900000,0.352786,15000
1980-04-08,0.900000,0.941667,0.900000,0.900000,0.352786,8200
1980-04-09,0.908333,0.950000,0.908333,0.908333,0.356052,2200
1980-04-10,0.908333,0.908333,0.908333,0.908333,0.356052,0
1980-04-11,0.941667,0.983333,0.941667,0.941667,0.369118,4500
1980-04-14,0.941667,0.983333,0.941667,0.941667,0.369118,7500
1980-04-15,0.941667,0.983333,0.941667,0.941667,0.369118,9700
1980-04-16,0.950000,0.991667,0.950000,0.950000,0.372385,15000
1980-04-17,0.950000,0.991667,0.950000,0.950000,0.372385,2200
1980-04-18,0.950000,0.991667,0.950000,0.950000,0.372385,8200
1980-04-21,0.950000,0.983333,0.941667,0.941667,0.369118,12000
1980-04-22,0.941667,0.983333,0.941667,0.941667,0.369118,700
1980-04-23,0.966667,1.008333,0.966667,0.966667,0.378918,2200
1980-04-24,1.000000,1.041667,1.000000,1.000000,0.391984,18700
1980-04-25,1.000000,1.016667,0.983333,0.983333,0.385451,23200
1980-04-28,1.016667,1.058333,1.016667,1.016667,0.398517,13500
1980-04-29,1.033333,1.066667,1.033333,1.033333,0.405050,15000
1980-04-30,1.033333,1.058333,1.016667,1.016667,0.398517,23200
1980-05-01,1.033333,1.066667,1.033333,1.033333,0.405050,2200
1980-05-02,1.033333,1.066667,1.033333,1.033333,0.405050,15700
1980-05-05,1.041667,1.083333,1.041667,1.041667,0.408317,17200
1980-05-06,1.050000,1.091667,1.050000,1.050000,0.411583,8200
1980-05-07,1.058333,1.100000,1.058333,1.058333,0.414850,13500
1980-05-08,1.058333,1.100000,1.058333,1.058333,0.414850,3700
1980-05-09,1.091667,1.133333,1.091667,1.091667,0.427916,6000
1980-05-12,1.091667,1.133333,1.091667,1.091667,0.427916,700
1980-05-13,1.100000,1.133333,1.100000,1.100000,0.431182,19500
1980-05-14,1.100000,1.133333,1.091667,1.091667,0.427916,17200
1980-05-15,1.091667,1.091667,1.091667,1.091667,0.427916,0
1980-05-16,1.083333,1.083333,1.041667,1.041667,0.408317,2200
1980-05-19,1.041667,1.083333,1.041667,1.041667,0.408317,6000
1980-05-20,1.041667,1.041667,1.041667,1.041667,0.408317,0
1980-05-21,1.100000,1.133333,1.100000,1.100000,0.431182,87700
1980-05-22,1.100000,1.100000,1.100000,1.100000,0.431182,0
1980-05-23,1.100000,1.133333,1.100000,1.100000,0.431182,15700
1980-05-27,1.150000,1.183333,1.150000,1.150000,0.450782,1374700
1980-05-28,1.150000,1.166667,1.133333,1.133333,0.444249,11200
1980-05-29,1.133333,1.166667,1.133333,1.133333,0.444249,8200
1980-05-30,1.133333,1.175000,1.133333,1.133333,0.444249,700
1980-06-02,1.158333,1.200000,1.158333,1.158333,0.454048,9700
1980-06-03,1.158333,1.183333,1.150000,1.150000,0.450782,3700
1980-06-04,1.150000,1.175000,1.133333,1.133333,0.444249,8200
1980-06-05,1.150000,1.183333,1.150000,1.150000,0.450782,15700
1980-06-06,1.150000,1.150000,1.150000,1.150000,0.450782,0
1980-06-09,1.150000,1.150000,1.150000,1.150000,0.450782,0
1980-06-10,1.150000,1.183333,1.150000,1.150000,0.450782,9700
1980-06-11,1.158333,1.200000,1.158333,1.158333,0.454048,2200
1980-06-12,1.158333,1.183333,1.150000,1.150000,0.450782,12000
1980-06-13,1.166667,1.208333,1.166667,1.166667,0.457315,12000
1980-06-16,1.175000,1.216667,1.175000,1.175000,0.460581,4500
1980-06-17,1.175000,1.208333,1.166667,1.166667,0.457315,2200
1980-06-18,1.166667,1.166667,1.166667,1.166667,0.457315,0
1980-06-19,1.166667,1.208333,1.166667,1.166667,0.457315,3700
1980-06-20,1.175000,1.216667,1.175000,1.175000,0.460581,700
1980-06-23,1.183333,1.225000,1.183333,1.183333,0.463848,700
1980-06-24,1.183333,1.208333,1.166667,1.166667,0.457315,8200
1980-06-25,1.166667,1.200000,1.158333,1.158333,0.454048,15000
1980-06-26,1.158333,1.200000,1.158333,1.158333,0.454048,700
1980-06-27,1.158333,1.200000,1.158333,1.158333,0.454048,4500
1980-06-30,1.158333,1.183333,1.150000,1.150000,0.450782,2200
1980-07-01,1.150000,1.150000,1.150000,1.150000,0.450782,0
1980-07-02,1.150000,1.166667,1.133333,1.133333,0.444249,4500
1980-07-03,1.133333,1.166667,1.133333,1.133333,0.444249,700
1980-07-07,1.133333,1.166667,1.133333,1.133333,0.444249,3700
1980-07-08,1.133333,1.133333,1.133333,1.133333,0.444249,0
1980-07-09,1.133333,1.166667,1.133333,1.133333,0.444249,8200
1980-07-10,1.133333,1.133333,1.133333,1.133333,0.444249,0
1980-07-11,1.133333,1.166667,1.133333,1.133333,0.444249,252000
1980-07-14,1.133333,1.158333,1.133333,1.133333,0.444249,637500
1980-07-15,1.133333,1.150000,1.133333,1.133333,0.444249,6000
1980-07-16,1.133333,1.150000,1.133333,1.133333,0.444249,11200
1980-07-17,1.133333,1.158333,1.133333,1.133333,0.444249,71200
1980-07-18,1.133333,1.133333,1.133333,1.133333,0.444249,6000
1980-07-21,1.133333,1.133333,1.116667,1.116667,0.437716,13500
1980-07-22,1.116667,1.133333,1.108333,1.108333,0.434449,13500
1980-07-23,1.108333,1.108333,1.091667,1.091667,0.427916,95200
1980-07-24,1.091667,1.091667,1.091667,1.091667,0.427916,0
1980-07-25,1.066667,1.066667,1.050000,1.050000,0.411583,54000
1980-07-28,1.050000,1.083333,1.050000,1.050000,0.411583,6000
1980-07-29,1.050000,1.066667,1.041667,1.041667,0.408317,11200
1980-07-30,1.058333,1.091667,1.058333,1.058333,0.414850,700
1980-07-31,1.083333,1.100000,1.083333,1.083333,0.424650,2200
1980-08-01,1.100000,1.108333,1.100000,1.100000,0.431182,45000
1980-08-04,1.100000,1.108333,1.091667,1.091667,0.427916,72700
1980-08-05,1.091667,1.108333,1.091667,1.091667,0.427916,1605000
1980-08-06,1.091667,1.108333,1.083333,1.083333,0.424650,135000
1980-08-07,1.100000,1.108333,1.100000,1.100000,0.431182,115500
1980-08-08,1.100000,1.108333,1.100000,1.100000,0.431182,120700
1980-08-11,1.108333,1.133333,1.108333,1.108333,0.434449,126000
1980-08-12,1.150000,1.158333,1.150000,1.150000,0.450782,185200
1980-08-13,1.150000,1.175000,1.150000,1.150000,0.450782,11200
1980-08-14,1.166667,1.183333,1.166667,1.166667,0.457315,15700
1980-08-15,1.166667,1.166667,1.158333,1.158333,0.454048,143200
1980-08-18,1.158333,1.166667,1.158333,1.158333,0.454048,69000
1980-08-19,1.158333,1.166667,1.158333,1.158333,0.454048,15700
1980-08-20,1.158333,1.158333,1.133333,1.133333,0.444249,65200
1980-08-21,1.133333,1.150000,1.133333,1.133333,0.444249,51700
1980-08-22,1.133333,1.150000,1.133333,1.133333,0.444249,519700
1980-08-25,1.133333,1.150000,1.133333,1.133333,0.444249,138700
1980-08-26,1.150000,1.166667,1.150000,1.150000,0.450782,478500
1980-08-27,1.150000,1.158333,1.150000,1.150000,0.450782,417700
1980-08-28,1.150000,1.150000,1.133333,1.133333,0.444249,155200
1980-08-29,1.133333,1.150000,1.133333,1.133333,0.444249,223500
1980-09-02,1.158333,1.166667,1.158333,1.158333,0.454048,7500
1980-09-03,1.158333,1.158333,1.133333,1.133333,0.444249,91500
1980-09-04,1.133333,1.158333,1.133333,1.133333,0.444249,183000
1980-09-05,1.158333,1.166667,1.158333,1.158333,0.454048,204000
1980-09-08,1.158333,1.175000,1.158333,1.158333,0.454048,369700
1980-09-09,1.183333,1.208333,1.183333,1.183333,0.463848,359200
1980-09-10,1.216667,1.233333,1.216667,1.216667,0.476914,1224700
1980-09-11,1.225000,1.250000,1.225000,1.225000,0.480181,71200
1980-09-12,1.233333,1.250000,1.233333,1.233333,0.483447,538500
1980-09-15,1.275000,1.300000,1.275000,1.275000,0.499780,127500
1980-09-16,1.283333,1.308333,1.283333,1.283333,0.503046,873700
1980-09-17,1.308333,1.325000,1.308333,1.308333,0.512846,362200
1980-09-18,1.333333,1.350000,1.333333,1.333333,0.522645,351700
1980-09-19,1.358333,1.366667,1.358333,1.358333,0.532445,830200
1980-09-22,1.350000,1.350000,1.325000,1.325000,0.519379,309000
1980-09-23,1.308333,1.308333,1.283333,1.283333,0.503046,514500
1980-09-24,1.300000,1.308333,1.300000,1.300000,0.509579,133500
1980-09-25,1.300000,1.316667,1.300000,1.300000,0.509579,277500
1980-09-26,1.316667,1.333333,1.316667,1.316667,0.516113,299200
1980-09-29,1.316667,1.333333,1.316667,1.316667,0.516113,128200
1980-09-30,1.316667,1.316667,1.300000,1.300000,0.509579,21000
1980-10-01,1.325000,1.350000,1.325000,1.325000,0.519379,103500
1980-10-02,1.333333,1.350000,1.333333,1.333333,0.522645,35200
1980-10-03,1.366667,1.375000,1.366667,1.366667,0.535711,315000
