Date,Open,High,Low,Close,Adj Close,Volume
2018-08-21,2.300000,2.300000,2.300000,2.300000,2.300000,8784200
2018-08-22,2.300000,3.500000,2.270000,2.700000,2.700000,116872
2018-08-23,2.680000,3.000000,2.200000,2.350000,2.350000,7406506
2018-08-24,2.600000,2.600000,2.220000,2.220000,2.220000,4898137
2018-08-27,2.300000,2.650000,2.230000,2.350000,2.350000,105011
2018-08-28,2.650000,2.650000,2.000000,2.000000,2.000000,182643
2018-08-29,2.450000,2.450000,2.220000,2.240000,2.240000,196051
2018-08-30,2.220000,2.220000,2.150000,2.200000,2.200000,124783
2018-08-31,2.160000,2.180000,2.120000,2.180000,2.180000,32261
2018-09-04,2.180000,2.180000,2.140000,2.160000,2.160000,2384808
2018-09-05,2.150000,2.160000,2.120000,2.140000,2.140000,890448
2018-09-06,2.130000,2.130000,2.110000,2.110000,2.110000,29390
2018-09-07,2.110000,2.110000,2.070000,2.110000,2.110000,356379
2018-09-10,2.080000,2.080000,2.060000,2.080000,2.080000,12214
2018-09-11,2.055000,2.070000,2.040100,2.060000,2.060000,24766
2018-09-12,2.020000,2.050000,2.000000,2.049900,2.049900,54838
2018-09-13,2.060000,2.120000,2.060000,2.120000,2.120000,36393
2018-09-14,2.150000,2.150000,2.090000,2.140000,2.140000,1523180
2018-09-17,2.120000,2.120000,2.100000,2.120000,2.120000,81732
2018-09-18,2.100000,2.100100,2.090000,2.100000,2.100000,58702
2018-09-19,2.140000,2.140000,2.110000,2.125000,2.125000,13173
2018-09-20,2.140000,2.140000,2.120000,2.140000,2.140000,8947
2018-09-21,2.140100,2.160000,2.140000,2.160000,2.160000,2034282
2018-09-24,2.140000,2.140000,2.129900,2.130000,2.130000,61712
2018-09-25,2.150000,2.150000,2.120000,2.130000,2.130000,23407
2018-09-26,2.120000,2.120000,2.092500,2.100000,2.100000,27853
2018-09-27,2.055000,2.090000,2.050000,2.050000,2.050000,10338
2018-09-28,1.992500,2.010000,1.990000,2.000000,2.000000,251037
2018-10-01,2.010000,2.010000,2.000000,2.010000,2.010000,25385
2018-10-02,1.927500,1.950000,1.927500,1.940000,1.940000,105894
